question,scale,current_status,strongest_evidence,confidence,unresolved_issue,required_action,sequencing_implication
Taiwanese taxa outside focal subsections,regional_species_tree,uneven,C. taiwanense morphology pollen and 2n=32 karyotype plus Taiwan-wide chromosome studies,medium_low,yellow-flowered and other transition-relevant taxa lack equivalent modern nuclear placement,audit Moreyra and Chang coverage then target-capture only true missing lineages,promote only taxa that alter colour transition history or anchor cytotype changes
Korean endemic and white-form candidates,regional_species_tree,partly_resolved_with_specific_gaps,"Moreyra supplement and runinfo verify C. nipponicum-related material and broader NE Asian anchors but do not recover exact tips for C. setidens C. rhinoceros or C. schantarense; Korean cytology plastomes and C. nipponicum genome remain available",medium,extant white-morph evidence and modern nuclear placement remain missing for the three highest-value Korean candidates,verify natural white populations and exhaust synonyms/other nuclear datasets before target capture,target capture only for verified transition-critical taxa still absent; population sequencing for morphs
Korean plastome versus nuclear history,cytonuclear_evidence,separate_layers_required,C. nipponicum and C. rhinoceros complete plastomes plus C. nipponicum nuclear reference and broader target-capture context,high,organellar placement may differ because of maternal inheritance and chloroplast capture,never graft plastome-only placements into the nuclear transition tree without sensitivity,retain plastid haplotypes as companion data and prioritize nuclear placement
Eastern and northeastern Chinese Cirsium,regional_species_tree,partially_covered_but_not_dense,"Moreyra supplement/runinfo now verify numerous Chinese tips including alberti argyracanthum fanjingshanense fargesii handelii henryi leo monocephalum shihianum and others; local taxonomic and plastome studies add names",medium,dense transition-focused sampling accepted-name reconciliation and population bridges remain incomplete,join all verified Moreyra tips to Flora/revision names and flower-colour evidence before selecting missing taxa,Compositae1061 target capture for true white-candidate or bridge gaps; not blanket RAD
Korea-Manchuria-Russian Far East broad species,population_phylogeography,species_anchors_present_population_history_unresolved,"Moreyra supplement/runinfo verify C. pendulum from Trans-Baikal and C. vlassovianum from Mongolia plus a C. coryletorum/vlassovianum name conflict and several Far Eastern tips",medium_low,standing variation versus repeated local white loss cannot be distinguished and C. schantarense remains unrecovered,sample multiple continental and Japanese populations after taxonomy and ploidy audit,RAD or resequencing as transregional bridge panel; species-level target capture only for residual gaps
White versus coloured populations within a taxon,population_tree,unresolved_across_core_systems,published species trees plus documented morphs,low,causal haplotype ancestry introgression and ancestral polymorphism unknown,paired morph and population RAD plus pigment RNA and candidate-region follow-up,core Chapter 2 sequencing objective
True white-to-coloured regain,character_history,not_demonstrated,topology sensitivity identifies coloured takaoense as strongest candidate,low,parallel losses introgression and standing variation remain equally plausible,combine population tree local ancestry intact pathway and expression restoration evidence,no claim before genomic and molecular criteria are satisfied
Repeated independent white loss,character_history,strong_working_hypothesis,Arenicola-Nipponocirsium-Sinocirsium topology fragments original colour/cytotype descriptions and multiple intraspecific white forms,medium_high,full taxon atlas and exact branch lengths are incomplete,full-tree population-aware ancestral-state sensitivity plus replicated mechanism tests,sample independent white systems rather than one pair only
Cytonuclear discordance and chloroplast capture,reticulate_history,known_and_expected,Hyb-Seq discordance and C vulgare maternal organelle result,high,extent within East Asian focal clades unknown,maintain separate nuclear and plastid histories and test local ancestry,plastid sequencing is companion data not backbone replacement
Polyploidy aneuploidy B chromosomes and cytomixis,cytogenetic_history,documented_but_patchy,Chang Taiwan/Japan studies; Taiwan and Korea karyotypes; Iranian 17-species meiotic survey; Bures hybrid/genome studies,high,within-population cytotype distribution missing for many focal taxa,flow cytometry fresh leaves chromosome evidence and ploidy-aware calling,avoid diploid-only RAD pipelines for mixed cytotypes
Machine-readable published tree access,data_recovery,sample_tables_recovered_trees_pending,"Chang 2025/2026 and Moreyra 2025 official supplements are recovered and sample/voucher tables extracted; Herrando and Mandel archive locations are known",medium_high,none of the recovered Chang/Moreyra supplements contains the final machine-readable Newick with branch lengths,recover final tree files from repositories/authors or reconstruct explicitly versioned topology alternatives without inventing lengths,formal Mk rate estimates and stochastic mapping wait for branch lengths; topology-only parsimony remains diagnostic
