claim_id,claim,status,evidence,allowed_interpretation,prohibited_interpretation
C2_14,"Nuclear population genomics + plastid haplotype + cytotype is the next ancestry discriminator",planned,"DOCTORAL_NEXT_DATA_GATE_2026-08-19.md","future test of standing variation vs introgression vs lineage-specific origin","evidence already collected"
C2_15,"Functional adaptation remains a downstream gate",supported_boundary,"FDT1/field readiness contracts","trait-function-fitness requires independent intervention","image morphology directly equals function"
C2_16,"Flower-colour loss/regain is no longer the central Chapter 2 question",project_decision,"docs/chapter2/README.md","retain colour as secondary molecular/historical module","reopen frozen colour anti-phylogenetic rescue as main story"
C2_17,"Registered present-day capitulum integration is stronger within taxa than among taxa",supported,"data/evidence/source/azami_capitulum_space_eazami_targets_run33035785120.csv","scale-dependent observational integration","genetic or persistent historical modules"
C2_18,"No robust continuous phylogenetic state structure is detected in the current sparse exact-concept panel",supported_boundary,"original continuous family plus pre-frozen JPN29 exclusion sensitivity","retain uncertainty and the high-depth not-evaluable outcome","zero phylogenetic signal or lost conservation"
C2_19,"Orientation phyllary posture and stickiness each require repeated minimum changes",supported,"current ML and 1000 UFBoot parsimony outputs","topology-conditioned recurrence lower bounds","independent origins convergence adaptation or rates"
C2_20,"Recurrence-count stability does not imply exact transition-placement identifiability",supported,"forced-edge audits for orientation phyllary and stickiness","counts and branch localization are separate estimands","every minimum step is a known event"
C2_21,"The original continuous branch-change correlation does not exceed the reconstruction-aware null",supported_negative,"japan38_branch_change_reconstruction_null_v1.json; observed rho=0.408006; reconstruction-aware P=0.3504","raw reconstructed-branch coupling remains descriptive even though naive branch permutation gives P≈0.00010","coordinated evolutionary remodeling"
C2_22,"The single frozen JPN29-excluded sensitivity also fails the reconstruction-aware null",supported_negative,"japan38_branch_change_provenance_sensitivity_v1.json; P=0.1959","identity correction supports the same bounded decision","replace the original result or prove independence"
C2_23,"Positive equal-branch topology signs are estimator-stability diagnostics only",supported_boundary,"japan38_continuous_branch_change_topology_sensitivity_v1.json","topology perturbation does not substitute for a reconstruction-aware null","use 1000/1000 signs to rescue shared historical coupling"
C2_24,"No discrete pair has consistently positive transition localization across branch-length and topology treatments",supported,"japan38_latest_module_transition_overlap_v2.json plus topology sensitivity","one persistent three-trait historical module is unsupported","fully independent traits or developmental modularity"
C2_25,"The active JEB claim is configuration diversity with multiple minimum changes unequal count-depth-edge resolution and bounded explanatory reach",synthesis,"C2_19 through C2_24; japan38_relative_event_depth_v1.json; chapter2_ecological_explanatory_reach_v1.json; chapter2_nonclimate_explanatory_constraints_v1.json","orientation phyllary posture and stickiness have distinct topology-conditioned historical resolution profiles and current data explain them to unequal degrees","independent origins convergence absolute timing function selection adaptation or complete causal explanation"
C2_26,"Exactly three Japan38 discrete histories are currently complete",supported_boundary,"chapter2_relative_event_depth_contract_v1.json","orientation phyllary posture and stickiness only","colour display or cytotype as an inferred fourth trait history"
C2_27,"Orientation has a stable but unresolved present-day climate correspondence",supported_bounded,"chapter2_ecological_explanatory_reach_v1.json; fdt4_eastasia_pgls_recovered_diagnostic_v1.json; fdt4_branchwise_niche_transition_concordance_v1.json","downward/nodding orientation is associated with higher BIO15 and lower BIO1 across 6/6 accepted topologies and 54/54 species-LOO fits; inferential thresholds remain unresolved","historical climate causation adaptation or event-specific ecological convergence"
C2_28,"Legacy transition fractions are not admissible on the accepted run-329 artifact",supported_provenance_correction,"run 328 reproduces 0.201 0.754 0.67 0.40; run 329 plus JPN24 yields current fractions","retain legacy values as superseded audit and use current frozen output for active claims","attach superseded localization values to current topology or trait matrix"
C2_29,"Phyllary posture and stickiness ecology are not evaluable with the current frozen state-by-climate overlap",supported_boundary,"chapter2_ecological_explanatory_reach_v1.json","insufficient state-diverse overlap is an evidence-resolution result","no ecological relationship or no selective effect"
C2_30,"Current non-climate data constrain simple explanations without identifying a cause",supported_bounded,"chapter2_nonclimate_explanatory_constraints_v1.json; japan38_cytotype_trait_overlap_v1.json; japan38_authority_module_combinations_v1.json","one-to-one ploidy and broad-history mappings are contradicted descriptively; population nuclear data constrain species-tip homogeneity; biotic predictors remain not_evaluable as a joined Japan38 matrix","ploidy independence population causation or absence of biotic effects"
C2_31,"The accepted Comp1061 tree is the harmonized full-panel nuclear scaffold but not the only East-Asian nuclear evidence",supported_provenance_correction,"east_asia_independent_nuclear_evidence_audit_v1.csv; EAST_ASIA_INDEPENDENT_NUCLEAR_EVIDENCE_AUDIT_V1.md","older rDNA MIG-seq/RAD transcriptome genome and local phylotranscriptomic evidence constrain other scales and interpretations","pool heterogeneous marker systems into one branch-length tree or call Moreyra 2025 the sole nuclear evidence"
C2_32,"Held-out phylogeny-only prediction is a Supporting Information sensitivity rather than the primary ecological-reach gate",project_decision,"JEB_SUPPORTING_INFORMATION_V2.md; ECOLOGICAL_EXPLANATORY_REACH_V1.md","retain transparency about predictive diagnostics without overfitting a nine-taxon panel","require predictive model competition before reporting stable ecological correspondence"
